user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_016707335.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ANI		GCA_903853895.1, s__Rhodoferax sp903853895, 95.0, 80.05, 0.44; GCF_002943465.1, s__Rhodoferax sp002943465, 95.0, 79.83, 0.37; GCF_003415675.1, s__Rhodoferax sp003415675, 95.0, 79.69, 0.34; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 79.67, 0.35; GCA_001795455.1, s__Rhodoferax sp001795455, 95.0, 79.64, 0.4; GCA_903945325.1, s__Rhodoferax sp903945325, 95.0, 79.62, 0.39; GCA_001770935.1, s__Rhodoferax sp001770935, 95.0, 79.4, 0.34; GCF_005876985.1, s__Rhodoferax bucti, 95.0, 79.35, 0.37; GCA_002256115.1, s__Rhodoferax sp002256115, 95.0, 79.32, 0.29; GCA_903924955.1, s__Rhodoferax sp903924955, 95.0, 79.28, 0.42; GCF_002251855.1, s__Rhodoferax sp002251855, 95.0, 79.25, 0.36; GCA_903845935.1, s__Rhodoferax sp903845935, 95.0, 79.18, 0.33; GCA_903886275.1, s__Rhodoferax sp903886275, 95.0, 79.15, 0.31; GCA_013297935.1, s__Rhodoferax sp013297935, 95.0, 79.13, 0.33; GCA_903863395.1, s__Rhodoferax sp903863395, 95.0, 79.1, 0.42; GCF_002163715.1, s__Rhodoferax sp002163715, 95.0, 79.09, 0.28; GCA_008015235.1, s__Rhodoferax sp008015235, 95.0, 78.97, 0.36; GCA_009925925.1, s__Rhodoferax sp009925925, 95.0, 78.84, 0.32; GCA_004293725.1, s__Rhodoferax sp004293725, 95.0, 78.71, 0.32; GCA_011391645.1, s__Rhodoferax sp011391645, 95.0, 78.59, 0.33; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 78.57, 0.24; GCA_002390825.1, s__Rhodoferax sp002390825, 95.0, 78.57, 0.28; GCA_903897925.1, s__Rhodoferax sp903897925, 95.0, 78.55, 0.27; GCA_903960915.1, s__Rhodoferax sp903960915, 95.0, 78.54, 0.28; GCA_002413825.1, s__Rhodoferax sp002413825, 95.0, 78.54, 0.3; GCA_903954045.1, s__Rhodoferax sp903954045, 95.0, 78.52, 0.25; GCA_002422455.1, s__Rhodoferax sp002422455, 95.0, 78.51, 0.37; GCA_011391545.1, s__Rhodoferax sp011391545, 95.0, 78.46, 0.31; GCF_003347515.1, s__Rhodoferax sp003347515, 95.0, 78.43, 0.34; GCA_010365055.1, s__Rhodoferax sp010365055, 95.0, 78.39, 0.25; GCA_903928635.1, s__Rhodoferax sp903928635, 95.0, 78.38, 0.33; GCA_012927445.1, s__Rhodoferax sp012927445, 95.0, 78.35, 0.29; GCA_903870955.1, s__Rhodoferax sp903870955, 95.0, 78.34, 0.23; GCA_903864505.1, s__Rhodoferax sp903864505, 95.0, 78.33, 0.28; GCA_903870065.1, s__Rhodoferax sp903870065, 95.0, 78.33, 0.25; GCA_001771065.1, s__Rhodoferax sp001771065, 95.0, 78.29, 0.24; GCF_013416775.1, s__Rhodoferax sp013416775, 95.0, 78.29, 0.25; GCA_013791765.1, s__Rhodoferax sp013791765, 95.0, 78.27, 0.25; GCA_002842265.1, s__Rhodoferax sp002842265, 95.0, 78.25, 0.31; GCF_006974105.1, s__Rhodoferax sp006974105, 95.0, 78.22, 0.22; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 78.19, 0.28; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 78.19, 0.26; GCA_002789915.1, s__Rhodoferax sp002789915, 95.0, 78.19, 0.29; GCA_903876045.1, s__Rhodoferax sp903876045, 95.0, 78.15, 0.21; GCA_903905735.1, s__Rhodoferax sp903905735, 95.0, 78.12, 0.24; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 78.11, 0.25; GCA_903944555.1, s__Rhodoferax sp903944555, 95.0, 78.04, 0.26; GCA_903828665.1, s__Rhodoferax sp903828665, 95.0, 78.02, 0.28; GCA_903886165.1, s__Rhodoferax sp903886165, 95.0, 78.02, 0.25; GCA_903958915.1, s__Rhodoferax sp903958915, 95.0, 77.94, 0.25; GCA_008080595.1, s__Rhodoferax sp008080595, 95.0, 77.93, 0.23; GCA_903920695.1, s__Rhodoferax sp903920695, 95.0, 77.9, 0.23; GCA_002786915.1, s__Rhodoferax sp002786915, 95.0, 77.89, 0.22; GCA_903840825.1, s__Rhodoferax sp903840825, 95.0, 77.85, 0.24; GCA_903859265.1, s__Rhodoferax sp903859265, 95.0, 77.84, 0.23; GCA_009693325.1, s__Rhodoferax sp009693325, 95.0, 77.84, 0.26; GCA_903876735.1, s__Rhodoferax sp903876735, 95.0, 77.81, 0.29; GCA_009924455.1, s__Rhodoferax sp009924455, 95.0, 77.76, 0.3; GCA_001871515.1, s__Rhodoferax sp001871515, 95.0, 77.76, 0.29; GCA_903914175.1, s__Rhodoferax sp903914175, 95.0, 77.76, 0.25; GCA_903951445.1, s__Rhodoferax sp903951445, 95.0, 77.73, 0.24; GCA_002784245.1, s__Rhodoferax sp002784245, 95.0, 77.72, 0.33; GCA_903856025.1, s__Rhodoferax sp903856025, 95.0, 77.72, 0.22; GCA_903869595.1, s__Rhodoferax sp903869595, 95.0, 77.69, 0.24; GCA_903873485.1, s__Rhodoferax sp903873485, 95.0, 77.68, 0.2; GCA_009922295.1, s__Rhodoferax sp009922295, 95.0, 77.66, 0.2; GCA_014190675.1, s__Rhodoferax sp014190675, 95.0, 77.66, 0.21; GCA_903948045.1, s__Rhodoferax sp903948045, 95.0, 77.64, 0.18; GCA_903839085.1, s__Rhodoferax sp903839085, 95.0, 77.61, 0.27; GCA_903861575.1, s__Rhodoferax sp903861575, 95.0, 77.59, 0.27; GCA_007280205.1, s__Rhodoferax sp007280205, 95.0, 77.59, 0.2; GCA_903897005.1, s__Rhodoferax sp903897005, 95.0, 77.54, 0.25; GCA_903928325.1, s__Rhodoferax sp903928325, 95.0, 77.52, 0.31; GCA_903896425.1, s__Rhodoferax sp903896425, 95.0, 77.52, 0.23; GCA_903938955.1, s__Rhodoferax sp903938955, 95.0, 77.51, 0.22; GCA_903906695.1, s__Rhodoferax sp903906695, 95.0, 77.49, 0.18; GCA_903914985.1, s__Rhodoferax sp903914985, 95.0, 77.49, 0.26; GCA_903894475.1, s__Rhodoferax sp903894475, 95.0, 77.46, 0.17; GCA_903823025.1, s__Rhodoferax sp903823025, 95.0, 77.46, 0.21; GCA_003133245.1, s__Rhodoferax sp003133245, 95.0, 77.44, 0.23; GCA_007279715.1, s__Rhodoferax sp007279715, 95.0, 77.11, 0.14; GCA_903927295.1, s__Rhodoferax sp903927295, 95.0, 77.02, 0.18; GCA_002381045.1, s__Rhodoferax sp002381045, 95.0, 76.97, 0.2; GCA_903875275.1, s__Rhodoferax sp903875275, 95.0, 76.94, 0.17; GCA_903925725.1, s__Rhodoferax sp903925725, 95.0, 76.92, 0.17; GCA_903930255.1, s__Rhodoferax sp903930255, 95.0, 76.87, 0.14; GCA_903822205.1, s__Rhodoferax sp903822205, 95.0, 76.68, 0.08; GCA_005793295.1, s__Rhodoferax sp005793295, 95.0, 76.51, 0.14; GCF_000477435.1, s__Rhodoferax mobilis, 95.0, 76.5, 0.06; GCA_903920405.1, s__Rhodoferax sp903920405, 95.0, 76.16, 0.09; GCA_903929815.1, s__Rhodoferax sp903929815, 95.0, 76.15, 0.08	95.08	11	0.979476828	
GCA_016707365.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	ANI		GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 79.55, 0.41; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 79.55, 0.39; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 79.52, 0.26; GCA_902825795.1, s__PHOS-HE28 sp902825795, 95.0, 79.43, 0.25; GCA_902826215.1, s__PHOS-HE28 sp902826215, 95.0, 79.27, 0.23; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 79.03, 0.27; GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 78.94, 0.29; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 78.6, 0.24; GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 77.83, 0.25	86.64	11	0.947229447	
GCA_016707385.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp002396605	GCA_002396605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp002396605	99.6	0.96	GCA_002396605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp002396605	99.6	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 78.59, 0.34; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 78.5, 0.32; GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 78.33, 0.28; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 78.05, 0.21; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 77.99, 0.21; GCA_902826215.1, s__PHOS-HE28 sp902826215, 95.0, 77.98, 0.21; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 77.92, 0.25; GCA_902825795.1, s__PHOS-HE28 sp902825795, 95.0, 77.53, 0.18	95.29	11		
GCA_016707395.1	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__						GCA_002344965.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__UBA2330 sp002344965	76.3	0.22	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__;s__	taxonomic classification defined by topology and ANI			91.76	11	0.86333362	
GCA_016707425.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification fully defined by topology			92.44	11	0.870976227	
GCA_016707445.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__						GCA_001724995.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__Rubrivivax sp001724995	81.61	0.62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	taxonomic classification defined by topology and ANI		GCA_903914615.1, s__Rubrivivax sp903914615, 95.0, 81.53, 0.48; GCA_013822265.1, s__Rubrivivax sp013822265, 95.0, 81.41, 0.54; GCF_000190375.1, s__Rubrivivax benzoatilyticus, 95.0, 81.37, 0.56; GCA_001725505.1, s__Rubrivivax sp001725505, 95.0, 81.27, 0.55; GCA_903828235.1, s__Rubrivivax sp903828235, 95.0, 81.19, 0.51; GCF_004016515.1, s__Rubrivivax albus, 95.0, 81.19, 0.48; GCF_000284255.1, s__Rubrivivax gelatinosus_A, 95.0, 81.1, 0.44; GCF_004016505.1, s__Rubrivivax sp004016505, 95.0, 81.01, 0.46; GCA_011391855.1, s__Rubrivivax sp011391855, 95.0, 80.98, 0.53; GCF_004340905.1, s__Rubrivivax gelatinosus, 95.0, 80.87, 0.46; GCF_001295905.1, s__Rubrivivax sp001295905, 95.0, 80.75, 0.46; GCA_903938815.1, s__Rubrivivax sp903938815, 95.0, 80.7, 0.44; GCF_001295865.1, s__Rubrivivax sp001295865, 95.0, 80.61, 0.48; GCA_903822435.1, s__Rubrivivax sp903822435, 95.0, 80.29, 0.41; GCA_011525985.1, s__Rubrivivax sp011525985, 95.0, 79.96, 0.62; GCA_001464055.1, s__Rubrivivax sp001464055, 95.0, 79.86, 0.4; GCA_903885585.1, s__Rubrivivax sp903885585, 95.0, 79.24, 0.34; GCA_903876715.1, s__Rubrivivax sp903876715, 95.0, 79.21, 0.35; GCA_903834645.1, s__Rubrivivax sp903834645, 95.0, 78.6, 0.45; GCA_009923895.1, s__Rubrivivax sp009923895, 95.0, 77.83, 0.24	90.79	11	0.963591854	
GCA_016707455.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic classification fully defined by topology			94.9	11	0.786995921	
GCA_016707465.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	ANI		GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 79.01, 0.08; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 77.14, 0.12; GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 77.14, 0.05; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 77.11, 0.05; GCA_902826215.1, s__PHOS-HE28 sp902826215, 95.0, 76.99, 0.14; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 76.74, 0.11; GCA_902825795.1, s__PHOS-HE28 sp902825795, 95.0, 76.74, 0.07; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 76.52, 0.09; GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 76.41, 0.07	95.51	11	0.948727581	
GCA_016707485.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__						GCA_001899855.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__Dokdonella sp001899855	93.5	0.85	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	taxonomic classification defined by topology and ANI		GCF_900115085.1, s__Dokdonella immobilis, 95.0, 81.01, 0.62; GCA_002483055.1, s__Dokdonella sp002483055, 95.0, 79.26, 0.32; GCA_004295005.1, s__Dokdonella sp004295005, 95.0, 79.24, 0.46; GCF_001632775.1, s__Dokdonella koreensis, 95.0, 78.56, 0.35; GCA_003241385.1, s__Dokdonella denitrificans_A, 95.0, 78.51, 0.39	98.37	11	0.994571326	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_016707525.1	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__											d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__	taxonomic novelty determined using RED			95.04	11	0.882156917	
GCA_016707545.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__						GCA_013140975.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp013140975	75.62	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	taxonomic classification defined by topology and ANI		GCA_002360455.1, s__UBA3362 sp002360455, 95.0, 76.14, 0.06	93.35	11	0.90763333	
GCA_016707555.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__						GCA_002360455.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp002360455	76.27	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	taxonomic classification defined by topology and ANI		GCA_013140975.1, s__UBA3362 sp013140975, 95.0, 75.72, 0.05	76.97	11	0.910370893	
GCA_016707585.1	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__						GCA_003538625.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__Ignavibacterium sp003538625	79.91	0.45	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__	taxonomic classification defined by topology and ANI		GCA_002050295.1, s__Ignavibacterium sp002050295, 95.0, 78.02, 0.33; GCA_013285425.1, s__Ignavibacterium sp900696555, 95.0, 77.83, 0.34; GCF_000258405.1, s__Ignavibacterium album, 95.0, 76.7, 0.21; GCA_011368355.1, s__Ignavibacterium album_A, 95.0, 76.7, 0.22; GCA_011329055.1, s__Ignavibacterium album_B, 95.0, 76.39, 0.21	93.03	11	0.944022729	
GCA_016707605.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__Promineofilum;s__											d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__;s__	taxonomic novelty determined using RED			87.12	11	0.945198245	
GCA_016707615.1	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__						GCA_003158755.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__FEN-1173;s__FEN-1173 sp003158755	76.41	0.07	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__;g__;s__	taxonomic classification defined by topology and ANI			90.53	11	0.791626819	
GCA_016707625.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	taxonomic classification defined by topology and ANI		GCF_006337105.1, s__Thermomonas sp006337105, 95.0, 87.35, 0.81; GCF_011302915.1, s__Thermomonas sp011302915, 95.0, 85.62, 0.77; GCF_014395425.1, s__Thermomonas brevis, 95.0, 84.66, 0.75; GCF_014396975.1, s__Thermomonas carbonis, 95.0, 84.63, 0.79; GCF_000423885.1, s__Thermomonas fusca, 95.0, 84.58, 0.74; GCF_004346265.1, s__Thermomonas haemolytica, 95.0, 84.25, 0.69; GCF_900129205.1, s__Thermomonas hydrothermalis, 95.0, 80.9, 0.57	96.29	11	0.973350603	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_016707665.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic novelty determined using RED			88.27	11	0.876410038	
GCA_016707685.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__	taxonomic novelty determined using RED			77.7	11	0.866923781	
GCA_016707695.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__						GCA_013140975.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp013140975	75.56	0.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	taxonomic classification defined by topology and ANI		GCA_002360455.1, s__UBA3362 sp002360455, 95.0, 75.89, 0.03	88.49	11	0.912431024	
GCA_016707705.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__						GCA_013376995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__Cfx3-02 sp013376995	77.01	0.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__	taxonomic classification defined by topology and ANI			92.85	11	0.938340871	
GCA_016707735.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__						GCA_013693795.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__SSC4 sp013693795	76.97	0.2	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__;g__;s__	taxonomic classification defined by topology and ANI			89.38	11	0.856323096	
GCA_016707765.1	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__CAINDZ01;s__											d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	taxonomic novelty determined using RED			88.21	11	0.939543319	
GCA_016707785.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__						GCA_013376995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__Cfx3-02 sp013376995	77.12	0.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__;s__	taxonomic classification defined by topology and ANI			95.14	11	0.943785269	
GCA_016707795.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__UBA5518 sp002396625	GCA_002396625.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__UBA5518 sp002396625	99.5	0.96	GCA_002396625.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__UBA5518 sp002396625	99.5	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903938575.1, s__UBA5518 sp903938575, 95.0, 77.29, 0.21; GCA_903928015.1, s__UBA5518 sp903928015, 95.0, 77.2, 0.2; GCA_903921135.1, s__UBA5518 sp903921135, 95.0, 77.08, 0.22	90.83	11		
GCA_016707825.1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.52	0.87	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.52	0.87	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000299415.1, s__Microthrix parvicella, 95.0, 81.5, 0.59	86.96	11		
GCA_016707835.1	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__UBA10438 sp002426145	GCA_002426145.1	95.0	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__UBA10438 sp002426145	98.78	0.93	GCA_002426145.1	95.0	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__UBA10438 sp002426145	98.78	0.93	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903939735.1, s__UBA10438 sp903939735, 95.0, 78.13, 0.19; GCA_003488525.1, s__UBA10438 sp003488525, 95.0, 76.85, 0.14	88.76	11		
GCA_016707865.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__						GCA_002746795.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__GCA-2746795 sp002746795	76.03	0.15	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__;s__	taxonomic classification defined by topology and ANI			83.8	11	0.912823655	
