genome_id,source,Level,WGS,Chrs,BioSample,strain,organism,genus,species,closest_placement_reference
GCA_016718365.1,ncbi,Contig,JADKDO000000000,undefined,SAMN16426366,OdNW_18-Q3-R42-56_BATAC.395,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718035.1,ncbi,Contig,JADKEK000000000,undefined,SAMN16426389,Rand_18-Q3-R56-63_BAT3C.178,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718015.1,ncbi,Contig,JADKEM000000000,undefined,SAMN16426391,Rand_18-Q3-R56-63_BAT3C.19,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016718125.1,ncbi,Contig,JADKED000000000,undefined,SAMN16426381,OdNW_18-Q3-R42-56_MAXAC.127,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016717325.1,ncbi,Contig,JADKFV000000000,undefined,SAMN16426426,Ribe_18-Q3-R11-54_BAT3C.3,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016717585.1,ncbi,Contig,JADKFH000000000,undefined,SAMN16426412,Rand_18-Q3-R56-63_MAXAC.050,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016717725.1,ncbi,Contig,JADKFA000000000,undefined,SAMN16426405,Rand_18-Q3-R56-63_BATAC.320,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016717665.1,ncbi,Contig,JADKFB000000000,undefined,SAMN16426406,Rand_18-Q3-R56-63_BATAC.479,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016720365.1,ncbi,Contig,JADKKU000000000,undefined,SAMN16426561,Viby_18-Q3-R106-67_BATAC.407,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016720935.1,ncbi,Contig,JADKJP000000000,undefined,SAMN16426528,Vibo_18-Q3-R45-57_BATAC.209,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016720655.1,ncbi,Contig,JADKKE000000000,undefined,SAMN16426545,Vibo_18-Q3-R45-57_MAXAC.083,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016720495.1,ncbi,Contig,JADKKM000000000,undefined,SAMN16426553,Viby_18-Q3-R106-67_BAT3C.20,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721305.1,ncbi,Contig,JADKIH000000000,undefined,SAMN16426493,Skiv_18-Q3-R9-52_BATAC.703,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721275.1,ncbi,Contig,JADKIJ000000000,undefined,SAMN16426495,Skiv_18-Q3-R9-52_MAXAC.022,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721255.1,ncbi,Contig,JADKIM000000000,undefined,SAMN16426498,Skiv_18-Q3-R9-52_MAXAC.058,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721435.1,ncbi,Contig,JADKIC000000000,undefined,SAMN16426488,Skiv_18-Q3-R9-52_BATAC.354,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721775.1,ncbi,Contig,JADKHJ000000000,undefined,SAMN16426469,Skiv_18-Q3-R9-52_BAT3C.325,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721785.1,ncbi,Contig,JADKHL000000000,undefined,SAMN16426471,Skiv_18-Q3-R9-52_BAT3C.378,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721765.1,ncbi,Contig,JADKHO000000000,undefined,SAMN16426474,Skiv_18-Q3-R9-52_BAT3C.50,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721705.1,ncbi,Contig,JADKHQ000000000,undefined,SAMN16426476,Skiv_18-Q3-R9-52_BAT3C.518,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016721635.1,ncbi,Contig,JADKHU000000000,undefined,SAMN16426480,Skiv_18-Q3-R9-52_BATAC.251,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016722375.1,ncbi,Contig,JADKJG000000000,undefined,SAMN16426519,Vibo_18-Q3-R45-57_BAT3C.148,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016722005.1,ncbi,Contig,JADKHA000000000,undefined,SAMN16426459,Skiv_18-Q3-R9-52_BAT3C.112,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016699635.1,ncbi,Chromosome,undefined,1,SAMN16425944,Fred_18-Q3-R57-64_BAT3C.517,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016699695.1,ncbi,Chromosome,undefined,1,SAMN16426213,Lyne_18-Q3-R50-59_BAT3C.262,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016702775.1,ncbi,Contig,JADJDI000000000,undefined,SAMN16425636,Aved_18-Q3-R54-62_MAXAC.090,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016702705.1,ncbi,Contig,JADJDM000000000,undefined,SAMN16425640,Aved_18-Q3-R54-62_MAXAC.142,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016702675.1,ncbi,Contig,JADJDN000000000,undefined,SAMN16425641,Aved_18-Q3-R54-62_MAXAC.153,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016703655.1,ncbi,Contig,JADJBQ000000000,undefined,SAMN16425590,Aved_18-Q3-R54-62_BAT3C.302,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016703275.1,ncbi,Contig,JADJCJ000000000,undefined,SAMN16425611,Aved_18-Q3-R54-62_BATAC.362,Bacteroidetes bacterium,Bacteroidetes,bacterium,
GCA_016719575.1,ncbi,Contig,JADJYV000000000,undefined,SAMN16426239,Lyne_18-Q3-R50-59_BATAC.62,Bdellovibrionaceae bacterium,Bdellovibrionaceae,bacterium,
GCA_016712575.1,ncbi,Contig,JADJQV000000000,undefined,SAMN16426010,Fred_18-Q3-R57-64_MAXAC.324,Bdellovibrionales bacterium,Bdellovibrionales,bacterium,
GCA_016713585.1,ncbi,Contig,JADJOV000000000,undefined,SAMN16425955,Fred_18-Q3-R57-64_BATAC.187,Bdellovibrionales bacterium,Bdellovibrionales,bacterium,
GCA_016713885.1,ncbi,Contig,JADJOF000000000,undefined,SAMN16425935,Fred_18-Q3-R57-64_BAT3C.339,Bdellovibrionales bacterium,Bdellovibrionales,bacterium,
GCA_016714165.1,ncbi,Contig,JADJNU000000000,undefined,SAMN16425922,EsbW_18-Q3-R4-48_MAXAC.295,Bdellovibrionales bacterium,Bdellovibrionales,bacterium,
GCA_016716765.1,ncbi,Contig,JADJVA000000000,undefined,SAMN16426125,Hirt_18-Q3-R61-65_MAXAC.305,Bdellovibrionales bacterium,Bdellovibrionales,bacterium,
GCA_016716425.1,ncbi,Contig,JADJWJ000000000,undefined,SAMN16426164,Kalu_18-Q3-R12-55_BAT3C.229,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016716535.1,ncbi,Contig,JADJWD000000000,undefined,SAMN16426157,Kalu_18-Q3-R12-55_BAT3C.181,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016715515.1,ncbi,Contig,JADJZW000000000,undefined,SAMN16426266,Lyne_18-Q3-R50-59_MAXAC.259,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016715315.1,ncbi,Contig,JADKAH000000000,undefined,SAMN16426279,Mari_18-Q3-R65-66_BAT3C.19,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016714155.1,ncbi,Contig,JADJNQ000000000,undefined,SAMN16425913,EsbW_18-Q3-R4-48_MAXAC.185_sub,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016713705.1,ncbi,Contig,JADJOQ000000000,undefined,SAMN16425950,Fred_18-Q3-R57-64_BAT3C.675,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016713305.1,ncbi,Contig,JADJPK000000000,undefined,SAMN16425971,Fred_18-Q3-R57-64_BATAC.422,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016713125.1,ncbi,Contig,JADJPT000000000,undefined,SAMN16425980,Fred_18-Q3-R57-64_BATAC.609,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016712915.1,ncbi,Contig,JADJQB000000000,undefined,SAMN16425989,Fred_18-Q3-R57-64_MAXAC.004,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016711875.1,ncbi,Contig,JADJSD000000000,undefined,SAMN16426048,Hade_18-Q3-R52-61_BATAC.452,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016711895.1,ncbi,Contig,JADJSC000000000,undefined,SAMN16426047,Hade_18-Q3-R52-61_BATAC.364,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016718775.1,ncbi,Contig,JADKCQ000000000,undefined,SAMN16426342,OdNE_18-Q3-R46-58_MAXAC.071,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016718555.1,ncbi,Contig,JADKDB000000000,undefined,SAMN16426353,OdNW_18-Q3-R42-56_BAT3C.155,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016717425.1,ncbi,Contig,JADKFM000000000,undefined,SAMN16426417,Rand_18-Q3-R56-63_MAXAC.170,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016717385.1,ncbi,Contig,JADKFT000000000,undefined,SAMN16426424,Ribe_18-Q3-R11-54_BAT3C.208,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016717855.1,ncbi,Contig,JADKEV000000000,undefined,SAMN16426400,Rand_18-Q3-R56-63_BATAC.171,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016717765.1,ncbi,Contig,JADKEW000000000,undefined,SAMN16426401,Rand_18-Q3-R56-63_BATAC.193,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016721925.1,ncbi,Contig,JADKHE000000000,undefined,SAMN16426463,Skiv_18-Q3-R9-52_BAT3C.176,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016720925.1,ncbi,Contig,JADKJR000000000,undefined,SAMN16426530,Vibo_18-Q3-R45-57_BATAC.224,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016720855.1,ncbi,Contig,JADKJU000000000,undefined,SAMN16426533,Vibo_18-Q3-R45-57_BATAC.298,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016720425.1,ncbi,Contig,JADKKQ000000000,undefined,SAMN16426557,Viby_18-Q3-R106-67_BAT3C.83,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016720295.1,ncbi,Contig,JADKKW000000000,undefined,SAMN16426563,Viby_18-Q3-R106-67_BATAC.55,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016720065.1,ncbi,Contig,JADJXY000000000,undefined,SAMN16426215,Lyne_18-Q3-R50-59_BAT3C.300,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016707015.1,ncbi,Contig,JADJIO000000000,undefined,SAMN16425778,Ega_18-Q3-R5-49_MAXAC.200,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016706525.1,ncbi,Contig,JADJJM000000000,undefined,SAMN16425802,Ejby_18-Q3-R6-50_MAXAC.009,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016706705.1,ncbi,Contig,JADJJB000000000,undefined,SAMN16425791,Ejby_18-Q3-R6-50_BATAC.207,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016707325.1,ncbi,Contig,JADJHW000000000,undefined,SAMN16425759,Ega_18-Q3-R5-49_BATAC.305,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016708825.1,ncbi,Contig,JADJEZ000000000,undefined,SAMN16425681,Bjer_18-Q3-R1-45_BATAC.230,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016708385.1,ncbi,Contig,JADJFY000000000,undefined,SAMN16425706,Bjer_18-Q3-R1-45_MAXAC.193,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016710885.1,ncbi,Contig,JADJUC000000000,undefined,SAMN16426100,Hirt_18-Q3-R61-65_BATAC.395,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016710505.1,ncbi,Contig,JADJVR000000000,undefined,SAMN16426144,Hjor_18-Q3-R7-51_BATAC.80,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016709665.1,ncbi,Contig,JADJMI000000000,undefined,SAMN16425879,EsbW_18-Q3-R4-48_BATAC.303,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016709885.1,ncbi,Contig,JADJLY000000000,undefined,SAMN16425869,EsbW_18-Q3-R4-48_BAT3C.485,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016709965.1,ncbi,Contig,JADJLT000000000,undefined,SAMN16425863,EsbW_18-Q3-R4-48_BAT3C.275,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016709385.1,ncbi,Contig,JADJMW000000000,undefined,SAMN16425893,EsbW_18-Q3-R4-48_MAXAC.006_sub,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016709235.1,ncbi,Contig,JADJNE000000000,undefined,SAMN16425901,EsbW_18-Q3-R4-48_MAXAC.050,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016704535.1,ncbi,Contig,JADIZZ000000000,undefined,SAMN16425545,AalW_18-Q3-R10-53_BATAC.157,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016704895.1,ncbi,Contig,JADIZG000000000,undefined,SAMN16425524,AalE_18-Q3-R2-46_MAXAC.086,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016705145.1,ncbi,Contig,JADIYT000000000,undefined,SAMN16425511,AalE_18-Q3-R2-46_BATAC.345,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016703845.1,ncbi,Contig,JADJBH000000000,undefined,SAMN16425579,AalW_18-Q3-R10-53_MAXAC.339,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016703785.1,ncbi,Contig,JADJBM000000000,undefined,SAMN16425584,AalW_18-Q3-R10-53_MAXAC.393,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016705475.1,ncbi,Contig,JADIYD000000000,undefined,SAMN16425495,AalE_18-Q3-R2-46_BAT3C.211,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016706095.1,ncbi,Contig,JADJKG000000000,undefined,SAMN16425824,EsbE_18-Q3-R3-47_BATAC.167,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016705825.1,ncbi,Contig,JADJKU000000000,undefined,SAMN16425838,EsbE_18-Q3-R3-47_MAXAC.052,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016703665.1,ncbi,Contig,JADJBS000000000,undefined,SAMN16425593,Aved_18-Q3-R54-62_BAT3C.394,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016702805.1,ncbi,Contig,JADJDH000000000,undefined,SAMN16425635,Aved_18-Q3-R54-62_MAXAC.086,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016702935.1,ncbi,Contig,JADJDA000000000,undefined,SAMN16425628,Aved_18-Q3-R54-62_MAXAC.010,Betaproteobacteria bacterium,Betaproteobacteria,bacterium,
GCA_016705245.1,ncbi,Contig,JADIYM000000000,undefined,SAMN16425504,AalE_18-Q3-R2-46_BATAC.155,Blastocatellia bacterium,Blastocatellia,bacterium,
GCA_016704725.1,ncbi,Contig,JADIZP000000000,undefined,SAMN16425533,AalW_18-Q3-R10-53_BAT3C.204,Blastocatellia bacterium,Blastocatellia,bacterium,
GCA_016713405.1,ncbi,Contig,JADJPF000000000,undefined,SAMN16425965,Fred_18-Q3-R57-64_BATAC.318,Blastocatellia bacterium,Blastocatellia,bacterium,
GCA_016713735.1,ncbi,Contig,JADJOP000000000,undefined,SAMN16425949,Fred_18-Q3-R57-64_BAT3C.662,Bryobacterales bacterium,Bryobacterales,bacterium,
GCA_016716385.1,ncbi,Contig,JADJWL000000000,undefined,SAMN16426166,Kalu_18-Q3-R12-55_BAT3C.261,Bryobacterales bacterium,Bryobacterales,bacterium,
GCA_016721425.1,ncbi,Contig,JADKID000000000,undefined,SAMN16426489,Skiv_18-Q3-R9-52_BATAC.396,Bryobacterales bacterium,Bryobacterales,bacterium,
GCA_016710525.1,ncbi,Contig,JADJVQ000000000,undefined,SAMN16426143,Hjor_18-Q3-R7-51_BATAC.292,Burkholderiaceae bacterium,Burkholderiaceae,bacterium,
GCA_016710065.1,ncbi,Contig,JADJLP000000000,undefined,SAMN16425859,EsbW_18-Q3-R4-48_BAT3C.207,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016708715.1,ncbi,Contig,JADJFG000000000,undefined,SAMN16425688,Bjer_18-Q3-R1-45_BATAC.569,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016707335.1,ncbi,Contig,JADJHX000000000,undefined,SAMN16425760,Ega_18-Q3-R5-49_BATAC.333,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016703945.1,ncbi,Contig,JADJBC000000000,undefined,SAMN16425574,AalW_18-Q3-R10-53_MAXAC.171,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016704005.1,ncbi,Contig,JADJAY000000000,undefined,SAMN16425570,AalW_18-Q3-R10-53_MAXAC.061,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016705575.1,ncbi,Contig,JADIXX000000000,undefined,SAMN16425489,AalE_18-Q3-R2-46_BAT3C.116,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016705985.1,ncbi,Contig,JADJKN000000000,undefined,SAMN16425831,EsbE_18-Q3-R3-47_BATAC.414,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016719405.1,ncbi,Contig,JADJZE000000000,undefined,SAMN16426248,Lyne_18-Q3-R50-59_MAXAC.018,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016716275.1,ncbi,Contig,JADJWR000000000,undefined,SAMN16426172,Kalu_18-Q3-R12-55_BAT3C.359,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016715585.1,ncbi,Contig,JADJZT000000000,undefined,SAMN16426263,Lyne_18-Q3-R50-59_MAXAC.237,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016703325.1,ncbi,Contig,JADJCH000000000,undefined,SAMN16425608,Aved_18-Q3-R54-62_BATAC.321_sub,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016702605.1,ncbi,Contig,JADJDQ000000000,undefined,SAMN16425644,Aved_18-Q3-R54-62_MAXAC.235,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016702555.1,ncbi,Contig,JADJDV000000000,undefined,SAMN16425649,Aved_18-Q3-R54-62_MAXAC.293,Burkholderiales bacterium,Burkholderiales,bacterium,
GCA_016714935.1,ncbi,Contig,JADKBU000000000,undefined,SAMN16426320,OdNE_18-Q3-R46-58_BAT3C.415,Candidatus Accumulibacter sp.,Candidatus,Accumulibacter,
GCA_016713625.1,ncbi,Contig,JADJOT000000000,undefined,SAMN16425953,Fred_18-Q3-R57-64_BAT3C.720,Candidatus Accumulibacter sp.,Candidatus,Accumulibacter,
GCA_016712935.1,ncbi,Contig,JADJQC000000000,undefined,SAMN16425990,Fred_18-Q3-R57-64_MAXAC.027,Candidatus Accumulibacter sp.,Candidatus,Accumulibacter,
GCA_016711725.1,ncbi,Contig,JADJSI000000000,undefined,SAMN16426053,Hade_18-Q3-R52-61_BATAC.726,Candidatus Accumulibacter sp.,Candidatus,Accumulibacter,
GCA_016709675.1,ncbi,Contig,JADJMH000000000,undefined,SAMN16425878,EsbW_18-Q3-R4-48_BATAC.285,Candidatus Accumulibacter sp.,Candidatus,Accumulibacter,
GCA_016699285.1,ncbi,Complete genome,undefined,1,SAMN16425776,Ega_18-Q3-R5-49_MAXAC.112v2,Candidatus Brocadia sp.,Candidatus,Brocadia,
GCA_016699465.1,ncbi,Complete genome,undefined,1,SAMN16425921,EsbW_18-Q3-R4-48_MAXAC.283_fly_man,Candidatus Campbellbacteria bacterium,Candidatus,Campbellbacteria,
GCA_016699715.1,ncbi,Complete genome,undefined,1,SAMN16426231,Lyne_18-Q3-R50-59_BATAC.383_cln,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016710535.1,ncbi,Contig,JADJVO000000000,undefined,SAMN16426141,Hjor_18-Q3-R7-51_BATAC.2,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016710825.1,ncbi,Contig,JADJUD000000000,undefined,SAMN16426101,Hirt_18-Q3-R61-65_BATAC.422,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016710995.1,ncbi,Contig,JADJTV000000000,undefined,SAMN16426093,Hirt_18-Q3-R61-65_BATAC.101,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016706355.1,ncbi,Contig,JADJJS000000000,undefined,SAMN16425808,Ejby_18-Q3-R6-50_MAXAC.193,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016712625.1,ncbi,Contig,JADJQQ000000000,undefined,SAMN16426005,Fred_18-Q3-R57-64_MAXAC.287,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016713505.1,ncbi,Contig,JADJPA000000000,undefined,SAMN16425960,Fred_18-Q3-R57-64_BATAC.284,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016715145.1,ncbi,Contig,JADKBJ000000000,undefined,SAMN16426308,Mari_18-Q3-R65-66_MAXAC.212,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016722145.1,ncbi,Contig,JADKGT000000000,undefined,SAMN16426452,Ribe_18-Q3-R11-54_MAXAC.188,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016719985.1,ncbi,Contig,JADJYA000000000,undefined,SAMN16426217,Lyne_18-Q3-R50-59_BAT3C.425,Candidatus Competibacteraceae bacterium,Candidatus,Competibacteraceae,
GCA_016722705.1,ncbi,Contig,JADKGN000000000,undefined,SAMN16426445,Ribe_18-Q3-R11-54_MAXAC.030,Candidatus Dechloromonas phosphoritropha,Candidatus,Dechloromonas,
GCA_016721185.1,ncbi,Contig,JADKIP000000000,undefined,SAMN16426501,Skiv_18-Q3-R9-52_MAXAC.078_sub,Candidatus Dechloromonas phosphorivorans,Candidatus,Dechloromonas,
GCA_016714975.1,ncbi,Contig,JADKBR000000000,undefined,SAMN16426317,OdNE_18-Q3-R46-58_BAT3C.305,Candidatus Dechloromonas phosphorivorans,Candidatus,Dechloromonas,
GCA_016709495.1,ncbi,Contig,JADJMS000000000,undefined,SAMN16425889,EsbW_18-Q3-R4-48_BATAC.463,Candidatus Dechloromonas phosphorivorans,Candidatus,Dechloromonas,
GCA_016710095.1,ncbi,Contig,JADJLL000000000,undefined,SAMN16425855,EsbW_18-Q3-R4-48_BAT3C.113,Candidatus Eisenbacteria bacterium,Candidatus,Eisenbacteria,
GCA_016712505.1,ncbi,Contig,JADJQY000000000,undefined,SAMN16426014,Fred_18-Q3-R57-64_MAXAC.354,Candidatus Eisenbacteria bacterium,Candidatus,Eisenbacteria,
GCA_016699775.1,ncbi,Complete genome,undefined,1,SAMN16426283,Mari_18-Q3-R65-66_BAT3C.341_fly,Candidatus Falkowbacteria bacterium,Candidatus,Falkowbacteria,
GCA_016699245.1,ncbi,Complete genome,undefined,1,SAMN16425743,Damh_18-Q3-R51-60_MAXAC.235_fly,Candidatus Kaiserbacteria bacterium,Candidatus,Kaiserbacteria,
GCA_016716405.1,ncbi,Contig,JADJWK000000000,undefined,SAMN16426165,Kalu_18-Q3-R12-55_BAT3C.239,Candidatus Melainabacteria bacterium,Candidatus,Melainabacteria,
GCA_016699165.1,ncbi,Complete genome,undefined,1,SAMN16425610,Aved_18-Q3-R54-62_BATAC.358_cln,Candidatus Melainabacteria bacterium,Candidatus,Melainabacteria,
GCA_016711925.1,ncbi,Contig,JADJSA000000000,undefined,SAMN16426045,Hade_18-Q3-R52-61_BATAC.316,Candidatus Methylophosphatis haderslevensis,Candidatus,Methylophosphatis,
GCA_016708905.1,ncbi,Contig,JADJEV000000000,undefined,SAMN16425677,Bjer_18-Q3-R1-45_BAT3C.347,Candidatus Methylophosphatis roskildensis,Candidatus,Methylophosphatis,
GCA_016708695.1,ncbi,Contig,JADJFH000000000,undefined,SAMN16425689,Bjer_18-Q3-R1-45_MAXAC.004,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016708795.1,ncbi,Contig,JADJEY000000000,undefined,SAMN16425680,Bjer_18-Q3-R1-45_BATAC.226,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016707825.1,ncbi,Contig,JADJGW000000000,undefined,SAMN16425732,Damh_18-Q3-R51-60_MAXAC.005,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016705925.1,ncbi,Contig,JADJKP000000000,undefined,SAMN16425833,EsbE_18-Q3-R3-47_BATAC.457_sub,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016705525.1,ncbi,Contig,JADIYB000000000,undefined,SAMN16425493,AalE_18-Q3-R2-46_BAT3C.202,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016704645.1,ncbi,Contig,JADIZU000000000,undefined,SAMN16425539,AalW_18-Q3-R10-53_BAT3C.502,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016704375.1,ncbi,Contig,JADJAI000000000,undefined,SAMN16425554,AalW_18-Q3-R10-53_BATAC.377,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016720445.1,ncbi,Contig,JADKKP000000000,undefined,SAMN16426556,Viby_18-Q3-R106-67_BAT3C.52,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016719385.1,ncbi,Contig,JADJZA000000000,undefined,SAMN16426244,Lyne_18-Q3-R50-59_MAXAC.006,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016718045.1,ncbi,Contig,JADKEI000000000,undefined,SAMN16426386,Rand_18-Q3-R56-63_BAT3C.13,Candidatus Microthrix sp.,Candidatus,Microthrix,
GCA_016699425.1,ncbi,Complete genome,undefined,1,SAMN16425919,EsbW_18-Q3-R4-48_MAXAC.278_cln,Candidatus Moranbacteria bacterium,Candidatus,Moranbacteria,
GCA_016699385.1,ncbi,Complete genome,undefined,1,SAMN16425918,EsbW_18-Q3-R4-48_MAXAC.267_cln,Candidatus Moranbacteria bacterium,Candidatus,Moranbacteria,
GCA_016699975.1,ncbi,Complete genome,undefined,1,SAMN16426129,Hirt_18-Q3-R61-65_MAXAC.378_cln,Candidatus Moranbacteria bacterium,Candidatus,Moranbacteria,
GCA_016699875.1,ncbi,Complete genome,undefined,1,SAMN16426026,Fred_18-Q3-R57-64_MAXAC.421_sub_cln,Candidatus Moranbacteria bacterium,Candidatus,Moranbacteria,
GCA_016699795.1,ncbi,Complete genome,undefined,1,SAMN16426312,Mari_18-Q3-R65-66_MAXAC.243_uni,Candidatus Moranbacteria bacterium,Candidatus,Moranbacteria,
GCA_016699365.1,ncbi,Complete genome,undefined,1,SAMN16425914,EsbW_18-Q3-R4-48_MAXAC.200_cln,Candidatus Nomurabacteria bacterium,Candidatus,Nomurabacteria,
GCA_016699085.1,ncbi,Complete genome,undefined,1,SAMN16425537,AalW_18-Q3-R10-53_BAT3C.395,Candidatus Nomurabacteria bacterium,Candidatus,Nomurabacteria,
GCA_016718315.1,ncbi,Contig,JADKDV000000000,undefined,SAMN16426373,OdNW_18-Q3-R42-56_BATAC.52,Candidatus Obscuribacter sp.,Candidatus,Obscuribacter,
