genome_id,original_genome_id,source,organism,genus,species,strain,closest_placement_reference,Taxonomy,Genome size (bp),%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,classification
ANG_164,Actinobacteria_ANG_164,custom,,,,,,Actinobacteria,4702171.0,69.47,94.59,1.64,High,Sagehorn,2016.0,Garry oak,Sage2_L_20_16,20.0,5.0,4.0,3.0,0.0,3.0,neither,neither,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__WQZC01;s__
5881_65_14,14_0919_02_20cm_Betaproteobacteria_5881_65_14,custom,,,,,,Betaproteobacteria,3820475.0,64.59,97.8,0.67,High,Angelo,2014.0,Meadow grassland,14_0919_02_20cm,20.0,4.0,4.0,1.0,2.0,3.0,shallow,grassland,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__VBDM01;s__VBDM01 sp005881575
gp13_AA74,Acidobacteria_gp13_AA74,custom,,,,,,Acidobacteria,5253747.0,60.23,95.03,4.56,High,Angelo,2014.0,Meadow grassland,14_0903_16_40cm,40.0,5.0,3.0,2.0,1.0,3.0,deep,tree,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__Gp13-AA74;s__Gp13-AA74 sp003225365
ANG_182,Actinobacteria_ANG_182,custom,,,,,,Actinobacteria,4629372.0,70.34,98.29,0.85,High,Sagehorn,2016.0,Garry oak,Sage2_L_100_16,100.0,3.0,3.0,0.0,3.0,3.0,deep,tree,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__
7526_65_14,14_0929_12_40cm_Betaproteobacteria_7526_65_14,custom,,,,,,Betaproteobacteria,3703317.0,64.63,92.36,4.43,High,Angelo,2014.0,Meadow grassland,14_0929_12_40cm,40.0,4.0,3.0,0.0,3.0,3.0,neither,neither,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__VBDM01;s__VBDM01 sp005884455
ANG_185,Deltaproteobacteria_ANG_185,custom,,,,,,Deltaproteobacteria,4561984.0,64.03,91.05,2.1,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,3.0,3.0,1.0,2.0,3.0,neither,neither,,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__2-12-FULL-60-19;s__
ANG_187,Actinobacteria_ANG_187,custom,,,,,,Actinobacteria,4339299.0,70.72,98.29,0.85,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,2.0,2.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__
ANG_183,Actinobacteria_ANG_183,custom,,,,,,Actinobacteria,5213541.0,69.86,99.15,2.14,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,3.0,2.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
1059_67_7,14_0903_12_30cm_Betaproteobacteria_1059_67_7,custom,,,,,,Betaproteobacteria,4118139.0,67.22,92.15,4.29,High,Angelo,2014.0,Meadow grassland,14_0903_12_30cm,30.0,5.0,2.0,0.0,3.0,3.0,shallow,neither,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__SCGC-AG-212-J23 sp005883675
ANG_192,Actinobacteria_ANG_192,custom,,,,,,Actinobacteria,3627832.0,71.29,95.3,1.92,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,1.0,1.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__
ANG_191,Actinobacteria_ANG_191,custom,,,,,,Actinobacteria,3829226.0,71.47,98.29,4.91,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_100_16,100.0,1.0,1.0,0.0,3.0,3.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__;g__;s__
ANG_189,Gemmatimonadetes_ANG_189,custom,,,,,,Gemmatimonadetes,3815418.0,66.13,93.96,0.0,High,Angelo,2014.0,Meadow grassland,14_0903_13_20cm,20.0,2.0,1.0,3.0,0.0,3.0,shallow,neither,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__20CM-2-65-7;s__
ANG_151,Verrucomicrobia_ANG_151,custom,,,,,,Verrucomicrobia,2536261.0,55.24,91.22,4.95,High,Angelo,2014.0,Meadow grassland,14_0927_05_40cm,40.0,7.0,1.0,0.0,3.0,3.0,deep,neither,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV40;s__AV40 sp003219215
ANG_200,Alphaproteobacteria_ANG_200,custom,,,,,,Alphaproteobacteria,5281779.0,59.45,93.11,0.87,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,8.0,8.0,0.0,2.0,2.0,neither,tree,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__SSEL01;s__
gp2_AA100,Acidobacteria_gp2_AA100,custom,,,,,,Acidobacteria,4983911.0,57.07,94.66,1.71,High,Angelo,2014.0,Meadow grassland,14_1009_05_40cm,40.0,7.0,7.0,2.0,0.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp003225315
ANG_205,Acidobacteria_ANG_205,custom,,,,,,Acidobacteria,5375064.0,57.23,94.87,1.71,High,Angelo,2014.0,Meadow grassland,14_1009_02_40cm,40.0,7.0,7.0,2.0,0.0,2.0,shallow,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp001917435
ANG_206,Acidobacteria_ANG_206,custom,,,,,,Acidobacteria,4621784.0,55.99,98.08,1.57,High,Rivendell,2016.0,Madrone,Mad1_115_16,115.0,7.0,7.0,2.0,0.0,2.0,neither,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA117;g__Gp1-AA17;s__
gp2_AA88,Acidobacteria_gp2_AA88,custom,,,,,,Acidobacteria,6119419.0,57.11,91.88,4.27,High,Angelo,2014.0,Meadow grassland,14_0929_02_30cm,30.0,8.0,6.0,2.0,0.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp003223295
ANG_224,Deltaproteobacteria_ANG_224,custom,,,,,,Deltaproteobacteria,4601623.0,70.47,94.84,1.04,High,Sagehorn,2016.0,Garry oak,Sage2_L_100_16,100.0,6.0,6.0,0.0,2.0,2.0,deep,neither,,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__
ANG_216,Verrucomicrobia_ANG_216,custom,,,,,,Verrucomicrobia,2663809.0,55.66,93.81,2.29,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,7.0,6.0,0.0,2.0,2.0,deep,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__UBA10450;s__UBA10450 sp003219195
ANG_230,Verrucomicrobia_ANG_230,custom,,,,,,Verrucomicrobia,7020067.0,61.8,99.32,2.7,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,6.0,6.0,0.0,2.0,2.0,neither,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__SIBH01;g__;s__
ANG_235,Acidobacteria_ANG_235,custom,,,,,,Acidobacteria,5436680.0,57.05,94.87,3.38,High,Angelo,2014.0,Meadow grassland,14_0919_02_20cm,20.0,5.0,5.0,2.0,0.0,2.0,shallow,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__
ANG_221,Alphaproteobacteria_ANG_221,custom,,,,,,Alphaproteobacteria,4511886.0,63.07,90.71,3.69,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_20_16,20.0,6.0,5.0,0.0,2.0,2.0,shallow,grassland,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115
ANG_239,Betaproteobacteria_ANG_239,custom,,,,,,Betaproteobacteria,3651813.0,60.16,96.05,0.05,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,5.0,5.0,0.0,2.0,2.0,neither,neither,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__;s__
ANG_211,Chloroflexi_ANG_211,custom,,,,,,Chloroflexi,6646187.0,65.78,90.15,1.98,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,7.0,5.0,0.0,2.0,2.0,deep,neither,,d__Bacteria;p__Chloroflexota;c__UBA6077;o__UBA6077;f__CF-72;g__CF-72;s__CF-72 sp005883405
AR28,Rokubacteria_AR28,custom,,,,,,Rokubacteria,6013750.0,68.47,91.03,4.38,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,6.0,5.0,0.0,2.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR31;s__AR31 sp003220495
ANG_203,Verrucomicrobia_ANG_203,custom,,,,,,Verrucomicrobia,3394297.0,55.05,93.92,4.05,High,Sagehorn,2016.0,Garry oak,Sage2_L_80_16,80.0,8.0,5.0,0.0,2.0,2.0,shallow,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__
ANG_244,Verrucomicrobia_ANG_244,custom,,,,,,Verrucomicrobia,3435975.0,54.71,97.75,4.05,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,5.0,5.0,0.0,2.0,2.0,shallow,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__
AV32,Verrucomicrobia_AV32,custom,,,,,,Verrucomicrobia,2731459.0,55.62,99.19,4.05,High,Angelo,2014.0,Meadow grassland,14_0903_12_30cm,30.0,5.0,5.0,0.0,2.0,2.0,deep,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__UBA10450;s__UBA10450 sp003219195
AV80,Verrucomicrobia_AV80,custom,,,,,,Verrucomicrobia,3973905.0,58.78,100.0,2.74,High,Angelo,2014.0,Meadow grassland,14_1009_05_20cm,20.0,5.0,5.0,0.0,2.0,2.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV80;s__AV80 sp003218375
ANG_237,Actinobacteria_ANG_237,custom,,,,,,Actinobacteria,3445682.0,67.62,91.24,4.31,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,5.0,4.0,0.0,2.0,2.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
ANG_208,Actinobacteria_ANG_208,custom,,,,,,Actinobacteria,7189531.0,71.13,98.29,1.71,High,Sagehorn,2016.0,Garry oak,Sage2_L_60_16,60.0,7.0,4.0,2.0,0.0,2.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
ANG_258,Betaproteobacteria_ANG_258,custom,,,,,,Betaproteobacteria,3352829.0,64.08,92.12,2.03,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,4.0,4.0,0.0,2.0,2.0,deep,grassland,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__VBDM01;s__
6506_67_17,14_0927_12_40cm_Bacteria_6506_67_17,custom,,,,,,Dormibacteraeota,3622083.0,66.71,95.37,0.93,High,Angelo,2014.0,Meadow grassland,14_0927_12_40cm,40.0,5.0,4.0,0.0,2.0,2.0,neither,neither,"Diamond et al., 2019",d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__CF-121;f__CF-121;g__CF-121;s__CF-121 sp005880615
AV44,Verrucomicrobia_AV44,custom,,,,,,Verrucomicrobia,2381129.0,55.4,90.8,3.72,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,4.0,4.0,0.0,2.0,2.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003218885
ANG_270,Verrucomicrobia_ANG_270,custom,,,,,,Verrucomicrobia,2265119.0,55.8,94.1,2.03,High,Rivendell,2015.0,Douglas fir,15con1,200.0,4.0,4.0,0.0,2.0,2.0,deep,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__UBA10450;s__UBA10450 sp003219195
AV37,Verrucomicrobia_AV37,custom,,,,,,Verrucomicrobia,3090450.0,55.09,97.3,3.15,High,Angelo,2014.0,Meadow grassland,14_0929_12_40cm,40.0,5.0,4.0,0.0,2.0,2.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003218975
ANG_273,Verrucomicrobia_ANG_273,custom,,,,,,Verrucomicrobia,3313453.0,55.24,98.31,4.39,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_113_16,115.0,4.0,4.0,0.0,2.0,2.0,neither,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__
ANG_271,Verrucomicrobia_ANG_271,custom,,,,,,Verrucomicrobia,2753668.0,55.81,98.62,4.73,High,Rivendell,2016.0,Madrone,Mad1_40_16,40.0,4.0,4.0,0.0,2.0,2.0,shallow,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV40;s__
ANG_288,Betaproteobacteria_ANG_288,custom,,,,,,Betaproteobacteria,3313212.0,66.17,96.75,1.18,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,3.0,3.0,0.0,2.0,2.0,neither,neither,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__
ANG_292,Gammaproteobacteria_ANG_292,custom,,,,,,Gammaproteobacteria,4010656.0,55.07,97.56,2.44,High,Rivendell,2015.0,Douglas fir,15con2h1_8,200.0,3.0,3.0,1.0,1.0,2.0,deep,neither,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__
ANG_274,Verrucomicrobia_ANG_274,custom,,,,,,Verrucomicrobia,2848443.0,54.8,90.03,1.91,High,Angelo,2014.0,Meadow grassland,14_0903_12_20cm,20.0,4.0,3.0,0.0,2.0,2.0,shallow,neither,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003217895
AV86,Verrucomicrobia_AV86,custom,,,,,,Verrucomicrobia,2779190.0,55.13,92.61,4.77,High,Angelo,2014.0,Meadow grassland,14_0929_05_20cm,20.0,5.0,3.0,0.0,2.0,2.0,shallow,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV69;s__AV69 sp003217965
ANG_278,Verrucomicrobia_ANG_278,custom,,,,,,Verrucomicrobia,2781498.0,54.25,94.09,3.04,High,Angelo,2014.0,Meadow grassland,14_1009_12_30cm,30.0,4.0,3.0,0.0,2.0,2.0,shallow,neither,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003219415
ANG_308,Gemmatimonadetes_ANG_308,custom,,,,,,Gemmatimonadetes,3700156.0,68.2,98.9,2.2,High,Angelo,2014.0,Meadow grassland,14_0929_02_30cm,30.0,2.0,2.0,2.0,0.0,2.0,shallow,neither,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__AG41;s__AG41 sp003222035
AV68,Verrucomicrobia_AV68,custom,,,,,,Verrucomicrobia,2751760.0,54.51,93.92,4.39,High,Angelo,2014.0,Meadow grassland,14_0929_05_30cm,30.0,4.0,2.0,0.0,2.0,2.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003218535
ANG_306,Ktedonobacter_racemifer_ANG_306,custom,,,,,,Chloroflexi,6774783.0,51.81,90.81,2.97,High,Rivendell,2013.0,Douglas fir,2013_60cm,60.0,2.0,1.0,0.0,2.0,2.0,shallow,tree,,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__
ANG_312,Actinobacteria_ANG_312,custom,,,,,,Actinobacteria,4432404.0,72.88,91.45,1.71,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,1.0,0.0,2.0,0.0,2.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__
ANG_318,Bradyrhizobium_ANG_318,custom,,,,,,Alphaproteobacteria,4544726.0,59.73,98.09,0.49,High,Rivendell,2016.0,Madrone,Mad1_40_16,40.0,9.0,9.0,1.0,0.0,1.0,neither,neither,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__
8922_67_8,14_1009_13_20cm_Proteobacteria_8922_67_8,custom,,,,,,Gammaproteobacteria,4187139.0,67.49,93.11,4.39,High,Angelo,2014.0,Meadow grassland,14_1009_13_20cm,20.0,10.0,9.0,0.0,1.0,1.0,shallow,neither,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695
8014_68_16,14_1009_09_30cm_Proteobacteria_8014_68_16,custom,,,,,,Deltaproteobacteria,5280167.0,68.18,94.09,3.0,High,Angelo,2014.0,Meadow grassland,14_1009_09_30cm,30.0,8.0,8.0,0.0,1.0,1.0,neither,tree,"Diamond et al., 2019",d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__40CM-4-68-19 sp001918155
ANG_322,Gammaproteobacteria_ANG_322,custom,,,,,,Gammaproteobacteria,4136040.0,67.68,94.69,3.65,High,Angelo,2014.0,Meadow grassland,14_0903_02_30cm,30.0,8.0,8.0,0.0,1.0,1.0,shallow,grassland,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp001914695
54_67_14,14_0903_02_20cm_Proteobacteria_54_67_14,custom,,,,,,Gammaproteobacteria,4227238.0,66.8,95.99,2.52,High,Angelo,2014.0,Meadow grassland,14_0903_02_20cm,20.0,7.0,7.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878835
ANG_332,Acidobacteria_ANG_332,custom,,,,,,Acidobacteria,5590104.0,55.68,99.36,3.42,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_80_16,80.0,6.0,6.0,1.0,0.0,1.0,deep,grassland,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Gp1-AA145;s__
1652_62_11,14_0919_09_20cm_Bradyrhizobium_1652_62_11,custom,,,,,,Alphaproteobacteria,6750997.0,61.78,97.67,2.16,High,Angelo,2014.0,Meadow grassland,14_0919_09_20cm,20.0,6.0,6.0,1.0,0.0,1.0,neither,neither,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp005884765
4183_68_9,14_1009_05_30cm_Deltaproteobacteria_4183_68_9,custom,,,,,,Deltaproteobacteria,5190202.0,67.86,98.06,3.87,High,Angelo,2014.0,Meadow grassland,14_1009_05_30cm,30.0,6.0,6.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__40CM-4-68-19 sp005879535
gp22_AA4,Acidobacteria_gp22_AA4,custom,,,,,,Acidobacteria,3747099.0,67.55,91.09,3.42,High,Angelo,2014.0,Meadow grassland,14_0903_16_40cm,40.0,5.0,5.0,1.0,0.0,1.0,neither,neither,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Mor1;o__Gp22-AA2;f__Gp22-AA2;g__Gp22-AA3;s__Gp22-AA3 sp003223135
ANG_342,Acidobacteria_ANG_342,custom,,,,,,Acidobacteria,6003969.0,54.13,95.46,2.56,High,Rivendell,2013.0,Douglas fir,2013_40cm,40.0,5.0,5.0,1.0,0.0,1.0,neither,grassland,,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11741;s__
gp1_AA141,Acidobacteria_gp1_AA141,custom,,,,,,Acidobacteria,5693849.0,55.85,96.84,3.52,High,Angelo,2014.0,Meadow grassland,14_1009_16_30cm,30.0,5.0,5.0,1.0,0.0,1.0,neither,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__QIAA01;s__QIAA01 sp003224905
3617_68_7,14_1009_02_20cm_Proteobacteria_3617_68_7,custom,,,,,,Deltaproteobacteria,5055905.0,68.32,92.11,1.61,High,Angelo,2014.0,Meadow grassland,14_1009_02_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__40CM-4-68-19 sp005879805
5405_67_12,14_0903_16_20cm_Proteobacteria_5405_67_12,custom,,,,,,Gammaproteobacteria,3475208.0,67.64,92.34,4.38,High,Angelo,2014.0,Meadow grassland,14_0903_16_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,"Diamond et al., 2019",d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878095
ANG_348,Gammaproteobacteria_ANG_348,custom,,,,,,Gammaproteobacteria,3619965.0,67.65,95.65,2.11,High,Angelo,2014.0,Meadow grassland,14_0903_12_20cm,20.0,5.0,5.0,0.0,1.0,1.0,shallow,grassland,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005878835
ANG_354,Acidobacteria_ANG_354,custom,,,,,,Acidobacteria,4877296.0,55.73,96.25,2.74,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,4.0,4.0,1.0,0.0,1.0,neither,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__QIAB01;s__QIAB01 sp003225455
ANG_355,Acidobacteria_ANG_355,custom,,,,,,Acidobacteria,4931210.0,56.4,96.67,1.71,High,Sagehorn,2016.0,Hilly grassland,Sage1_L_60_16,60.0,4.0,4.0,1.0,0.0,1.0,neither,grassland,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__;s__
ANG_359,Actinobacteria_ANG_359,custom,,,,,,Actinobacteria,4199427.0,69.18,93.68,1.9,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_60_16,60.0,4.0,4.0,0.0,1.0,1.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
ANG_366,Gemmatimonadetes_ANG_366,custom,,,,,,Gemmatimonadetes,3448421.0,69.13,93.41,1.1,High,Angelo,2014.0,Meadow grassland,14_1009_02_30cm,30.0,4.0,4.0,0.0,1.0,1.0,shallow,neither,,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__20CM-4-69-16;s__20CM-4-69-16 sp003220795
ANG_371,Verrucomicrobia_ANG_371,custom,,,,,,Verrucomicrobia,3408812.0,54.94,98.27,2.93,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,4.0,4.0,1.0,0.0,1.0,neither,grassland,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__
gp3_AA109,Acidobacteria_gp3_AA109,custom,,,,,,Acidobacteria,9181584.0,58.36,97.37,2.19,High,Angelo,2014.0,Meadow grassland,14_0903_13_30cm,30.0,4.0,3.0,0.0,1.0,1.0,shallow,grassland,"Crits-Christoph et al., 2018; Diamond et al., 2019",d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__QHXW01;s__QHXW01 sp003223115
ANG_375,Acidobacteria_ANG_375,custom,,,,,,Acidobacteria,4681699.0,55.68,98.02,1.71,High,Angelo,2014.0,Meadow grassland,14_0927_12_20cm,20.0,3.0,3.0,1.0,0.0,1.0,neither,neither,,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Gp1-AA124;s__Gp1-AA124 sp003225075
ANG_378,Actinobacteria_ANG_378,custom,,,,,,Actinobacteria,3514451.0,69.97,98.29,2.99,High,Sagehorn,2016.0,Hilly grassland,Sage1_R_100_16,100.0,3.0,3.0,0.0,1.0,1.0,neither,grassland,,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__;s__
