genome_id,source,organism,genus,species,strain,closest_placement_reference,Genome,Phylum,# of Contigs,Length (bp),CheckM Completeness %,CheckM Contamination %,ncbi_mapping,Level,WGS,BioSample,Isolate,Taxonomy,bgcflow_project_name,Assigned Taxonomy,created_on,attributes,name,material,location,viewable,sequences,library,feature,basepairs,sequencing_method,country,sample,sequence_type,biome,coordinates,contig count,Genome size (bp),ctg_N50,ctg_L50,ctg_N90,ctg_L90,ctg_max,gc_avg,gc_std,CDS,Completeness (%),Contamination (%),Relative abundance (%),5S-full,5S-partial,16S-full,16S-partial,23S-full,23S-partial,Circular,Taxa (GTDB),original_genome_id,%GC,CheckM completeness,CheckM contamination,MAG draft quality,Site,Year,Environment,Sample,Depth (cm),BGCs,BGCs (in >10kb contigs),CD domains,KS domains,CD+KS domains,Depth trend,Vegetation trend,Previous publication,Chrs
mgm4762948.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:04,"{'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:25', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'fgs_type': '454', 'pipeline_id': '72179d22-b951-4672-a81f-02e2c1befbc4', 'm5nr_sims_version': '7', 'filter_options': 'skip', 'filter_ln': '0', 'priority': 'immediately', 'min_ln': '1', 'checksum': 'd907f4de1a2f3d2b25eebc8dfc67e405', 'screen_indexes': 'h_sapiens', 'm5rna_sims_version': '7', 'bowtie': '0', 'dynamic_trim': '0', 'file_type': 'fna', 'm5rna_annotation_version': '1', 'unique_id_count': '552', 'filter_ambig': '0', 'assembled': '1', 'pipeline_version': '4.0.2', 'type': 'ASCII_text', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'file_name': 'Smooth.269.fasta', 'aa_pid': '90', 'rna_pid': '97', 'completedtime': '2017-09-07 23:00:38', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'max_ln': '25762', 'sequencing_method_guess': 'assembled', 'max_lqb': '5', 'prefix_length': '50', 'min_qual': '15'}",Smooth.269,sediment,"Nilemah, Shark Bay, Western Australia",1.0,552,mgl611234,lake,"4,741,657",assembled,Australia,mgs611232,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762949.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:12,"{'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'file_name': 'Smooth.164.fasta', 'rna_pid': '97', 'completedtime': '2017-09-07 23:04:15', 'aa_pid': '90', 'max_lqb': '5', 'prefix_length': '50', 'min_qual': '15', 'max_ln': '22341', 'sequencing_method_guess': 'assembled', 'filter_ambig': '0', 'assembled': '1', 'pipeline_version': '4.0.2', 'file_type': 'fna', 'dynamic_trim': '0', 'unique_id_count': '573', 'm5rna_annotation_version': '1', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text', 'filter_options': 'skip', 'pipeline_id': 'e05cdc1b-fb4d-405f-abb0-cc7bd2b27d2c', 'm5nr_sims_version': '7', 'min_ln': '1', 'checksum': 'b791154a01cccfedba875b7fcbf91df1', 'screen_indexes': 'h_sapiens', 'm5rna_sims_version': '7', 'bowtie': '0', 'priority': 'immediately', 'filter_ln': '0', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:26', 'fgs_type': '454'}",Smooth.164,sediment,"Nilemah, Shark Bay, Western Australia",1.0,573,mgl611147,lake,"4,259,768",assembled,Australia,mgs611145,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762951.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:27,"{'pipeline_version': '4.0.2', 'filter_ambig': '0', 'assembled': '1', 'm5rna_annotation_version': '1', 'unique_id_count': '719', 'file_type': 'fna', 'dynamic_trim': '0', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'type': 'ASCII_text', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'aa_pid': '90', 'rna_pid': '97', 'completedtime': '2017-09-07 22:59:17', 'file_name': 'Smooth.065.fasta', 'prefix_length': '50', 'min_qual': '15', 'max_lqb': '5', 'sequencing_method_guess': 'assembled', 'max_ln': '25878', 'dereplicate': '0', 'm5nr_annotation_version': '1', 'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:32', 'fgs_type': '454', 'filter_options': 'skip', 'm5nr_sims_version': '7', 'pipeline_id': 'fc253049-8227-4515-a593-c3947fc86cd6', 'm5rna_sims_version': '7', 'bowtie': '0', 'min_ln': '1', 'checksum': '56f0f34027c4194d8ec547fe581c1e76', 'screen_indexes': 'h_sapiens', 'filter_ln': '0', 'priority': 'immediately'}",Smooth.065,sediment,"Nilemah, Shark Bay, Western Australia",1.0,719,mgl611060,lake,"4,982,995",assembled,Australia,mgs611058,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762953.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:42,"{'pipeline_version': '4.0.2', 'assembled': '1', 'filter_ambig': '0', 'm5rna_annotation_version': '1', 'unique_id_count': '711', 'file_type': 'fna', 'dynamic_trim': '0', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'type': 'ASCII_text', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'rna_pid': '97', 'completedtime': '2017-09-07 23:01:52', 'aa_pid': '90', 'file_name': 'Smooth.304.fasta', 'min_qual': '15', 'prefix_length': '50', 'max_lqb': '5', 'sequencing_method_guess': 'assembled', 'max_ln': '17277', 'dereplicate': '0', 'm5nr_annotation_version': '1', 'publication_date': '2017-09-19 05:57:34', 'suffix': 'fasta', 'filter_ln_mult': '2.0', 'fgs_type': '454', 'filter_options': 'skip', 'm5nr_sims_version': '7', 'pipeline_id': 'e0d1e129-4713-4678-86ca-68e01b79d343', 'bowtie': '0', 'm5rna_sims_version': '7', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': '8a0da3a11114c7d27824dfbd0a8ef918', 'filter_ln': '0', 'priority': 'immediately'}",Smooth.304,sediment,"Nilemah, Shark Bay, Western Australia",1.0,711,mgl611258,lake,"3,995,041",assembled,Australia,mgs611256,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762954.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:48,"{'type': 'ASCII_text', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'm5rna_annotation_version': '1', 'unique_id_count': '1064', 'file_type': 'fna', 'dynamic_trim': '0', 'pipeline_version': '4.0.2', 'filter_ambig': '0', 'assembled': '1', 'sequencing_method_guess': 'assembled', 'max_ln': '10705', 'prefix_length': '50', 'min_qual': '15', 'max_lqb': '5', 'rna_pid': '97', 'aa_pid': '90', 'completedtime': '2017-09-07 23:05:00', 'file_name': 'Smooth.167.fasta', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'fgs_type': '454', 'filter_ln_mult': '2.0', 'publication_date': '2017-09-19 05:57:36', 'suffix': 'fasta', 'dereplicate': '0', 'm5nr_annotation_version': '1', 'filter_ln': '0', 'priority': 'immediately', 'm5rna_sims_version': '7', 'bowtie': '0', 'checksum': 'bd2b59d3e004d1b260540aea5f56b821', 'min_ln': '1', 'screen_indexes': 'h_sapiens', 'm5nr_sims_version': '7', 'pipeline_id': 'ef00a0c0-009c-46e3-a351-4960f152a69d', 'filter_options': 'skip'}",Smooth.167,sediment,"Nilemah, Shark Bay, Western Australia",1.0,"1,064",mgl611150,lake,"4,437,893",assembled,Australia,mgs611148,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762955.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:34:57,"{'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': '4f652b66cbd9d0f0f771ddd2051f672c', 'bowtie': '0', 'm5rna_sims_version': '7', 'filter_ln': '0', 'priority': 'immediately', 'filter_options': 'skip', 'pipeline_id': 'b2d59cd9-3dd0-4064-99da-4cb850620504', 'm5nr_sims_version': '7', 'fgs_type': '454', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'publication_date': '2017-09-19 05:57:37', 'suffix': 'fasta', 'filter_ln_mult': '2.0', 'max_lqb': '5', 'min_qual': '15', 'prefix_length': '50', 'max_ln': '15533', 'sequencing_method_guess': 'assembled', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'file_name': 'Smooth.066.fasta', 'rna_pid': '97', 'completedtime': '2017-09-07 23:08:24', 'aa_pid': '90', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text', 'assembled': '1', 'filter_ambig': '0', 'pipeline_version': '4.0.2', 'dynamic_trim': '0', 'file_type': 'fna', 'unique_id_count': '1033', 'm5rna_annotation_version': '1'}",Smooth.066,sediment,"Nilemah, Shark Bay, Western Australia",1.0,"1,033",mgl611063,lake,"5,321,330",assembled,Australia,mgs611061,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762956.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:05,"{'dereplicate': '0', 'm5nr_annotation_version': '1', 'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:39', 'fgs_type': '454', 'filter_options': 'skip', 'm5nr_sims_version': '7', 'pipeline_id': 'def7436c-c902-478e-a4ae-71295b7a26d7', 'm5rna_sims_version': '7', 'bowtie': '0', 'min_ln': '1', 'checksum': '92cfe7be470b08d11fc9ecd7f0d29ee6', 'screen_indexes': 'h_sapiens', 'priority': 'immediately', 'filter_ln': '0', 'pipeline_version': '4.0.2', 'filter_ambig': '0', 'assembled': '1', 'm5rna_annotation_version': '1', 'unique_id_count': '483', 'file_type': 'fna', 'dynamic_trim': '0', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'type': 'ASCII_text', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'completedtime': '2017-09-07 22:57:03', 'rna_pid': '97', 'aa_pid': '90', 'file_name': 'Smooth.284.fasta', 'prefix_length': '50', 'min_qual': '15', 'max_lqb': '5', 'sequencing_method_guess': 'assembled', 'max_ln': '24719'}",Smooth.284,sediment,"Nilemah, Shark Bay, Western Australia",1.0,483,mgl611249,lake,"3,378,264",assembled,Australia,mgs611247,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762957.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:11,"{'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text', 'assembled': '1', 'filter_ambig': '0', 'pipeline_version': '4.0.2', 'dynamic_trim': '0', 'file_type': 'fna', 'unique_id_count': '1356', 'm5rna_annotation_version': '1', 'max_lqb': '5', 'min_qual': '15', 'prefix_length': '50', 'max_ln': '15387', 'sequencing_method_guess': 'assembled', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'file_name': 'Smooth.194.fasta', 'rna_pid': '97', 'completedtime': '2017-09-07 23:09:12', 'aa_pid': '90', 'fgs_type': '454', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'publication_date': '2017-09-19 05:57:39', 'suffix': 'fasta', 'filter_ln_mult': '2.0', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': '3e7cc0d33bc3a495aa842c9ced3fff5f', 'bowtie': '0', 'm5rna_sims_version': '7', 'filter_ln': '0', 'priority': 'immediately', 'filter_options': 'skip', 'pipeline_id': '44328bef-6c11-4d2b-bd29-beebbcf9aafc', 'm5nr_sims_version': '7'}",Smooth.194,sediment,"Nilemah, Shark Bay, Western Australia",1.0,"1,356",mgl611174,lake,"6,966,711",assembled,Australia,mgs611172,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762958.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:22,"{'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'file_name': 'Smooth.185.fasta', 'rna_pid': '97', 'aa_pid': '90', 'completedtime': '2017-09-07 23:00:17', 'max_lqb': '5', 'min_qual': '15', 'prefix_length': '50', 'max_ln': '55809', 'sequencing_method_guess': 'assembled', 'assembled': '1', 'filter_ambig': '0', 'pipeline_version': '4.0.2', 'dynamic_trim': '0', 'file_type': 'fna', 'unique_id_count': '218', 'm5rna_annotation_version': '1', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text', 'filter_options': 'skip', 'pipeline_id': '253591b5-714a-4265-ba22-9f9713c1033b', 'm5nr_sims_version': '7', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': 'e79651ce72c6f96346de67ef20c366b4', 'bowtie': '0', 'm5rna_sims_version': '7', 'priority': 'immediately', 'filter_ln': '0', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'publication_date': '2017-09-19 05:57:41', 'suffix': 'fasta', 'filter_ln_mult': '2.0', 'fgs_type': '454'}",Smooth.185,sediment,"Nilemah, Shark Bay, Western Australia",1.0,218,mgl611162,lake,"3,149,759",assembled,Australia,mgs611160,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762959.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:30,"{'priority': 'immediately', 'filter_ln': '0', 'checksum': '758fc02f0361f8b1e533f812c419d66a', 'min_ln': '1', 'screen_indexes': 'h_sapiens', 'm5rna_sims_version': '7', 'bowtie': '0', 'pipeline_id': '0e0a328a-cae8-46e8-8157-2267a00fd30f', 'm5nr_sims_version': '7', 'filter_options': 'skip', 'fgs_type': '454', 'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:42', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'max_ln': '15407', 'sequencing_method_guess': 'assembled', 'max_lqb': '5', 'prefix_length': '50', 'min_qual': '15', 'file_name': 'Smooth.233.fasta', 'rna_pid': '97', 'aa_pid': '90', 'completedtime': '2017-09-07 23:01:28', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'type': 'ASCII_text', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'dynamic_trim': '0', 'file_type': 'fna', 'unique_id_count': '868', 'm5rna_annotation_version': '1', 'filter_ambig': '0', 'assembled': '1', 'pipeline_version': '4.0.2'}",Smooth.233,sediment,"Nilemah, Shark Bay, Western Australia",1.0,868,mgl611216,lake,"4,228,655",assembled,Australia,mgs611214,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762960.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:40,"{'file_type': 'fna', 'dynamic_trim': '0', 'unique_id_count': '264', 'm5rna_annotation_version': '1', 'assembled': '1', 'filter_ambig': '0', 'pipeline_version': '4.0.2', 'type': 'ASCII_text', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'file_name': 'Smooth.126.fasta', 'aa_pid': '90', 'rna_pid': '97', 'completedtime': '2017-09-07 23:00:38', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'max_ln': '56198', 'sequencing_method_guess': 'assembled', 'max_lqb': '5', 'min_qual': '15', 'prefix_length': '50', 'publication_date': '2017-09-19 05:57:43', 'suffix': 'fasta', 'filter_ln_mult': '2.0', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'fgs_type': '454', 'pipeline_id': 'da020018-261c-4a84-8fff-98a3a6794b87', 'm5nr_sims_version': '7', 'filter_options': 'skip', 'priority': 'immediately', 'filter_ln': '0', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': '8f1cd805511cfcd66ca9fc9240261d8b', 'bowtie': '0', 'm5rna_sims_version': '7'}",Smooth.126,sediment,"Nilemah, Shark Bay, Western Australia",1.0,264,mgl611120,lake,"3,943,373",assembled,Australia,mgs611118,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762961.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:46,"{'max_lqb': '5', 'prefix_length': '50', 'min_qual': '15', 'max_ln': '14976', 'sequencing_method_guess': 'assembled', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'file_name': 'Smooth.255.fasta', 'rna_pid': '97', 'completedtime': '2017-09-07 23:06:50', 'aa_pid': '90', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text', 'assembled': '1', 'filter_ambig': '0', 'pipeline_version': '4.0.2', 'file_type': 'fna', 'dynamic_trim': '0', 'unique_id_count': '1001', 'm5rna_annotation_version': '1', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': 'ddff36889f6ce24bfa6b973db68c9f62', 'bowtie': '0', 'm5rna_sims_version': '7', 'priority': 'immediately', 'filter_ln': '0', 'filter_options': 'skip', 'pipeline_id': 'aa0ae5f5-b57c-4f2d-b830-b2c1ca2fbf8d', 'm5nr_sims_version': '7', 'fgs_type': '454', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:44', 'filter_ln_mult': '2.0'}",Smooth.255,sediment,"Nilemah, Shark Bay, Western Australia",1.0,"1,001",mgl611231,lake,"4,614,868",assembled,Australia,mgs611229,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762962.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:35:55,"{'bowtie': '0', 'm5rna_sims_version': '7', 'screen_indexes': 'h_sapiens', 'checksum': 'f9570c6c800b18630d9b8eea8afef2fd', 'min_ln': '1', 'priority': 'immediately', 'filter_ln': '0', 'filter_options': 'skip', 'm5nr_sims_version': '7', 'pipeline_id': 'cf468311-c522-4ccd-a689-accc097623a1', 'fgs_type': '454', 'dereplicate': '0', 'm5nr_annotation_version': '1', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:46', 'filter_ln_mult': '2.0', 'prefix_length': '50', 'min_qual': '15', 'max_lqb': '5', 'sequencing_method_guess': 'assembled', 'max_ln': '6272', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'aa_pid': '90', 'rna_pid': '97', 'completedtime': '2017-09-07 22:57:34', 'file_name': 'Smooth.435.fasta', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'type': 'ASCII_text', 'pipeline_version': '4.0.2', 'assembled': '1', 'filter_ambig': '0', 'm5rna_annotation_version': '1', 'unique_id_count': '983', 'dynamic_trim': '0', 'file_type': 'fna'}",Smooth.435,sediment,"Nilemah, Shark Bay, Western Australia",1.0,983,mgl611279,lake,"2,523,849",assembled,Australia,mgs611277,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762963.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:36:02,"{'unique_id_count': '606', 'm5rna_annotation_version': '1', 'dynamic_trim': '0', 'file_type': 'fna', 'pipeline_version': '4.0.2', 'assembled': '1', 'filter_ambig': '0', 'type': 'ASCII_text', 'max_ambig': '5', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'rna_pid': '97', 'completedtime': '2017-09-07 22:57:55', 'aa_pid': '90', 'file_name': 'Smooth.220.fasta', 'sequence_type_guess': 'WGS', 'sequence_content': 'DNA', 'sequencing_method_guess': 'assembled', 'max_ln': '15991', 'min_qual': '15', 'prefix_length': '50', 'max_lqb': '5', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:47', 'filter_ln_mult': '2.0', 'dereplicate': '0', 'm5nr_annotation_version': '1', 'fgs_type': '454', 'm5nr_sims_version': '7', 'pipeline_id': '75c289ae-5347-49bb-9686-352f224c8bea', 'filter_options': 'skip', 'filter_ln': '0', 'priority': 'immediately', 'bowtie': '0', 'm5rna_sims_version': '7', 'screen_indexes': 'h_sapiens', 'min_ln': '1', 'checksum': '0d542d2e8019687cbf5b84d113fe2bb4'}",Smooth.220,sediment,"Nilemah, Shark Bay, Western Australia",1.0,606,mgl611201,lake,"2,963,280",assembled,Australia,mgs611199,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgm4762965.3,custom,,,,,,,,,,,,,,,,,,Chen_et_al,,2017-09-07 18:36:17,"{'filter_options': 'skip', 'pipeline_id': 'cdae1583-c019-4eaa-bd30-597c72690ead', 'm5nr_sims_version': '7', 'checksum': 'ad67f1a896d5cb8de76bc8e62b7d60eb', 'min_ln': '1', 'screen_indexes': 'h_sapiens', 'm5rna_sims_version': '7', 'bowtie': '0', 'priority': 'immediately', 'filter_ln': '0', 'm5nr_annotation_version': '1', 'dereplicate': '0', 'filter_ln_mult': '2.0', 'suffix': 'fasta', 'publication_date': '2017-09-19 05:57:49', 'fgs_type': '454', 'sequence_content': 'DNA', 'sequence_type_guess': 'WGS', 'file_name': 'Smooth.002.fasta', 'completedtime': '2017-09-07 23:09:59', 'rna_pid': '97', 'aa_pid': '90', 'max_lqb': '5', 'prefix_length': '50', 'min_qual': '15', 'max_ln': '28513', 'sequencing_method_guess': 'assembled', 'filter_ambig': '0', 'assembled': '1', 'pipeline_version': '4.0.2', 'file_type': 'fna', 'dynamic_trim': '0', 'unique_id_count': '421', 'm5rna_annotation_version': '1', 'submission': 'a51a3fb6-60e4-4ba9-9db5-bf7801036c81', 'max_ambig': '5', 'type': 'ASCII_text'}",Smooth.002,sediment,"Nilemah, Shark Bay, Western Australia",1.0,421,mgl610994,lake,"3,756,514",assembled,Australia,mgs610992,WGS,aquatic biome,"-26.421285, 114.2789009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK-STAS-AABM5-1,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,30.0,1628326.0,4.0,98650.0,16.0,28081.0,384900.0,0.55801,0.01432,1362.0,54.33,0.0,0.03053352,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__AABM5-125-24;c__AABM5-125-24;o__;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-AABM5-2,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,12.0,1228262.0,3.0,149283.0,9.0,40342.0,337126.0,0.55774,0.00591,1023.0,58.17,0.0,0.01898163,0.0,0.0,0.0,0.0,0.0,0.0,No,d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-AABM5-3,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,4.0,3091884.0,1.0,1905518.0,3.0,319063.0,1905518.0,0.53215,0.00456,2524.0,98.9,0.0,0.11616243,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-AABM5-4,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,5.0,2428212.0,1.0,1932077.0,3.0,152281.0,1932077.0,0.55616,0.01069,1952.0,90.04,0.0,0.0261508,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACID-1,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,59.0,3874268.0,15.0,91826.0,41.0,36641.0,203923.0,0.65526,0.00707,3212.0,54.27,1.756,0.016374739,0.0,0.0,0.0,0.0,0.0,0.0,No,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__UBA6623;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACID-2,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,27.0,4393739.0,8.0,248149.0,19.0,94839.0,387000.0,0.51422,0.00777,3606.0,87.6,2.564,0.039096642,2.0,0.0,2.0,0.0,0.0,2.0,No,d__Bacteria;p__Acidobacteriota;c__GCA-2747255;o__GCA-2747255;f__GCA-2747255;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACID-3,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,33.0,2296851.0,8.0,89118.0,23.0,30038.0,292792.0,0.71738,0.01051,1930.0,63.71,5.128,0.02142234,0.0,0.0,0.0,0.0,0.0,0.0,No,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACTI-1,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,9.0,3450077.0,2.0,1302429.0,3.0,362037.0,1696904.0,0.61995,0.00856,3379.0,99.14,1.282,0.23354334,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACTI-2,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,39.0,4141232.0,5.0,236190.0,18.0,56295.0,767055.0,0.70686,0.01338,3937.0,94.01,3.846,0.058453754,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACTI-3,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,32.0,4504869.0,7.0,227145.0,19.0,92984.0,555311.0,0.70566,0.00981,4155.0,93.16,2.136,0.028391328,1.0,0.0,1.0,0.0,1.0,0.0,No,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__,,,,,,,,,,,,,,,,,,,
HK-STAS-ACTI-4,custom,,,,,,,,,,,,,,,,,,Liu_et_al,,,,,,,,,,,,,,,,,,48.0,3055968.0,6.0,186858.0,23.0,39665.0,350491.0,0.71096,0.01477,2939.0,75.5,0.854,0.06884708,1.0,0.0,0.0,0.0,1.0,0.0,No,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207;s__,,,,,,,,,,,,,,,,,,,
